+--------------------+--------+--------------------------------+
| ensembl_protein_id | count  | LENGTH(proteins.sequence) * 19 |
| ENSP00000368007.4  |   3287 |                           3287 |
| ENSP00000472090.2  |   3287 |                           3287 |
| ENSP00000483183.1  |   3287 |                           3287 |
| ENSP00000264376.4  |   3306 |                           3306 |
| ENSP00000282141.3  |   3306 |                           3306 |
| ENSP00000463058.2  |   3306 |                           3306 |
| ENSP00000243578.2  |   3325 |                           3325 |
| ENSP00000260988.4  |   3325 |                           3325 |
| ENSP00000272424.5  |   3325 |                           3325 |
| ENSP00000296684.5  |   3325 |                           3325 |
| ENSP00000358272.4  |   3325 |                           3325 |
| ENSP00000499082.1  |   3325 |                           3325 |
| ENSP00000244217.5  |   3344 |                           3344 |
| ENSP00000369383.1  |   3344 |                           3344 |
| ENSP00000303942.4  |   3363 |                           3363 |
| ENSP00000387173.3  |   3363 |                           3363 |
| ENSP00000410619.3  |   3363 |                           3363 |
| ENSP00000312099.5  |   3382 |                           3382 |
| ENSP00000335636.4  |   3382 |                           3382 |
| ENSP00000339191.2  |   3382 |                           3382 |
| ENSP00000496250.1  |   3382 |                           3382 |
| ENSP00000263275.4  |   3401 |                           3401 |
| ENSP00000276689.3  |   3401 |                           3401 |
| ENSP00000304553.5  |   3401 |                           3401 |
| ENSP00000376758.2  |   3401 |                           3401 |
| ENSP00000259229.2  |   3420 |                           3420 |
| ENSP00000362261.3  |   3420 |                           3420 |
| ENSP00000367615.3  |   3420 |                           3420 |
| ENSP00000414497.2  |   3420 |                           3420 |
| ENSP00000417898.1  |   3420 |                           3420 |
| ENSP00000256682.4  |   3439 |                           3439 |
| ENSP00000272102.5  |   3439 |                           3439 |
| ENSP00000393686.1  |   3439 |                           3439 |
| ENSP00000260746.4  |   3458 |                           3458 |
| ENSP00000273308.4  |   3458 |                           3458 |
| ENSP00000371336.1  |   3458 |                           3458 |
| ENSP00000431445.2  |   3458 |                           3458 |
| ENSP00000377311.5  |   3477 |                           3477 |
| ENSP00000496942.1  |   3477 |                           3477 |
| ENSP00000216410.3  |   3496 |                           3496 |
| ENSP00000233596.2  |   3496 |                           3496 |
| ENSP00000250559.9  |   3496 |                           3496 |
| ENSP00000262187.5  |   3496 |                           3496 |
| ENSP00000291232.3  |   3496 |                           3496 |
| ENSP00000323076.5  |   3496 |                           3496 |
| ENSP00000450456.3  |   3496 |                           3496 |
| ENSP00000295934.3  |   3515 |                           3515 |
| ENSP00000309644.4  |   3515 |                           3515 |
| ENSP00000312274.6  |   3515 |                           3515 |
| ENSP00000393541.2  |   3534 |                           3534 |
| ENSP00000419619.1  |   3534 |                           3534 |
| ENSP00000258930.3  |   3553 |                           3553 |
| ENSP00000380598.2  |   3553 |                           3553 |
| ENSP00000396308.2  |   3553 |                           3553 |
| ENSP00000415151.2  |   3553 |                           3553 |
| ENSP00000216452.4  |   3572 |                           3572 |
| ENSP00000308495.3  |   3572 |                           3572 |
| ENSP00000356856.6  |   3572 |                           3572 |
| ENSP00000380157.3  |   3572 |                           3572 |
| ENSP00000309845.7  |   3591 |                           3591 |
| ENSP00000340278.5  |   3591 |                           3591 |
| ENSP00000341543.5  |   3610 |                           3610 |
| ENSP00000363329.4  |   3610 |                           3610 |
| ENSP00000452037.1  |   3610 |                           3610 |
| ENSP00000333873.6  |   3629 |                           3629 |
| ENSP00000364293.4  |   3629 |                           3629 |
| ENSP00000365838.1  |   3629 |                           3629 |
| ENSP00000370090.3  |   3629 |                           3629 |
| ENSP00000499457.1  |   3629 |                           3629 |
| ENSP00000505152.1  |   3629 |                           3629 |
| ENSP00000249071.6  |   3648 |                           3648 |
| ENSP00000258737.7  |   3648 |                           3648 |
| ENSP00000263262.9  |   3648 |                           3648 |
| ENSP00000289488.2  |   3648 |                           3648 |
| ENSP00000304283.4  |   3648 |                           3648 |
| ENSP00000245903.2  |   3667 |                           3667 |
| ENSP00000252723.2  |   3667 |                           3667 |
| ENSP00000262498.3  |   3667 |                           3667 |
| ENSP00000349687.3  |   3667 |                           3667 |
| ENSP00000362566.3  |   3667 |                           3667 |
| ENSP00000397157.2  |   3667 |                           3667 |
| ENSP00000400175.1  |   3667 |                           3667 |
| ENSP00000265968.3  |   3686 |                           3686 |
| ENSP00000307280.4  |   3686 |                           3686 |
| ENSP00000320236.2  |   3686 |                           3686 |
| ENSP00000369456.3  |   3686 |                           3686 |
| ENSP00000494600.1  |   3686 |                           3686 |
| ENSP00000496757.1  |   3686 |                           3686 |
| ENSP00000217971.7  |   3705 |                           3705 |
| ENSP00000261623.3  |   3705 |                           3705 |
| ENSP00000306887.2  |   3705 |                           3705 |
| ENSP00000335632.5  |   3705 |                           3705 |
| ENSP00000359939.3  |   3705 |                           3705 |
| ENSP00000505312.1  |   3705 |                           3705 |
| ENSP00000262460.4  |   3724 |                           3724 |
| ENSP00000281938.3  |   3724 |                           3724 |
| ENSP00000346805.3  |   3724 |                           3724 |
| ENSP00000380998.3  |   3724 |                           3724 |
| ENSP00000377096.1  |   3743 |                           3743 |
| ENSP00000494957.1  |   3743 |                           3743 |
| ENSP00000225171.2  |   3762 |                           3762 |
| ENSP00000228872.4  |   3762 |                           3762 |
| ENSP00000354111.4  |   3762 |                           3762 |
| ENSP00000385432.2  |   3762 |                           3762 |
| ENSP00000319476.6  |   3781 |                           3781 |
| ENSP00000327647.3  |   3781 |                           3781 |
| ENSP00000361152.5  |   3781 |                           3781 |
| ENSP00000359393.3  |   3800 |                           3800 |
| ENSP00000342156.5  |   3819 |                           3819 |
| ENSP00000360519.3  |   3819 |                           3819 |
| ENSP00000362049.1  |   3819 |                           3819 |
| ENSP00000242261.5  |   3838 |                           3838 |
| ENSP00000296130.4  |   3838 |                           3838 |
| ENSP00000393840.1  |   3838 |                           3838 |
| ENSP00000258874.4  |   3857 |                           3857 |
| ENSP00000306788.7  |   3857 |                           3857 |
| ENSP00000256196.4  |   3876 |                           3876 |
| ENSP00000261499.4  |   3876 |                           3876 |
| ENSP00000269321.7  |   3876 |                           3876 |
| ENSP00000309334.5  |   3876 |                           3876 |
| ENSP00000372547.1  |   3876 |                           3876 |
| ENSP00000248114.6  |   3895 |                           3895 |
| ENSP00000248553.6  |   3895 |                           3895 |
| ENSP00000381273.2  |   3895 |                           3895 |
| ENSP00000005257.2  |   3914 |                           3914 |
| ENSP00000254976.3  |   3914 |                           3914 |
| ENSP00000349415.7  |   3914 |                           3914 |
| ENSP00000383382.2  |   3914 |                           3914 |
| ENSP00000064724.4  |   3933 |                           3933 |
| ENSP00000265062.3  |   3933 |                           3933 |
| ENSP00000286688.5  |   3933 |                           3933 |
| ENSP00000354566.4  |   3933 |                           3933 |
| ENSP00000399324.2  |   3933 |                           3933 |
| ENSP00000264664.4  |   3952 |                           3952 |
| ENSP00000292114.3  |   3952 |                           3952 |
| ENSP00000301838.5  |   3952 |                           3952 |
| ENSP00000324177.6  |   3952 |                           3952 |
| ENSP00000371790.5  |   3952 |                           3952 |
| ENSP00000389682.2  |   3952 |                           3952 |
| ENSP00000230056.3  |   3971 |                           3971 |
| ENSP00000260953.5  |   3971 |                           3971 |
| ENSP00000358831.4  |   3978 |                           5966 |
| ENSP00000315774.5  |   3990 |                           3990 |
| ENSP00000381607.3  |   3990 |                           3990 |
| ENSP00000419243.2  |   3990 |                           3990 |
| ENSP00000478303.1  |   3990 |                           3990 |
| ENSP00000180166.5  |   4009 |                           4009 |
| ENSP00000215855.2  |   4009 |                           4009 |
| ENSP00000222803.5  |   4009 |                           4009 |
| ENSP00000235382.5  |   4009 |                           4009 |
| ENSP00000266085.5  |   4009 |                           4009 |
| ENSP00000295522.3  |   4009 |                           4009 |
| ENSP00000307889.5  |   4009 |                           4009 |
| ENSP00000365882.4  |   4009 |                           4009 |
| ENSP00000216756.6  |   4028 |                           4028 |
| ENSP00000265191.2  |   4028 |                           4028 |
| ENSP00000304802.2  |   4028 |                           4028 |
| ENSP00000368683.5  |   4028 |                           4028 |
| ENSP00000376506.2  |   4028 |                           4028 |
| ENSP00000492751.1  |   4028 |                           4028 |
| ENSP00000233627.9  |   4047 |                           4047 |
| ENSP00000254250.3  |   4047 |                           4047 |
| ENSP00000263780.4  |   4047 |                           4047 |
| ENSP00000301691.1  |   4047 |                           4047 |
| ENSP00000329312.2  |   4047 |                           4047 |
| ENSP00000358466.3  |   4047 |                           4047 |
| ENSP00000242462.4  |   4066 |                           4066 |
| ENSP00000298283.3  |   4066 |                           4066 |
| ENSP00000358832.2  |   4066 |                           4066 |
| ENSP00000361531.3  |   4066 |                           4066 |
| ENSP00000225387.3  |   4085 |                           4085 |
| ENSP00000278937.2  |   4085 |                           4085 |
| ENSP00000299333.3  |   4085 |                           4085 |
| ENSP00000335076.4  |   4085 |                           4085 |
| ENSP00000345347.5  |   4085 |                           4085 |
| ENSP00000365042.3  |   4085 |                           4085 |
| ENSP00000352414.3  |   4104 |                           4104 |
| ENSP00000359224.4  |   4104 |                           4104 |
| ENSP00000264848.5  |   4123 |                           4123 |
| ENSP00000284154.5  |   4123 |                           4123 |
| ENSP00000312673.5  |   4123 |                           4123 |
| ENSP00000322316.5  |   4123 |                           4123 |
| ENSP00000352565.4  |   4123 |                           4123 |
| ENSP00000359392.3  |   4123 |                           4123 |
| ENSP00000377384.2  |   4123 |                           4123 |
| ENSP00000246792.2  |   4142 |                           4142 |
| ENSP00000262631.3  |   4142 |                           4142 |
| ENSP00000263326.3  |   4142 |                           4142 |
| ENSP00000298556.7  |   4142 |                           4142 |
| ENSP00000333547.5  |   4142 |                           4142 |
| ENSP00000380531.3  |   4142 |                           4142 |
| ENSP00000281382.6  |   4161 |                           4161 |
| ENSP00000307705.4  |   4161 |                           4161 |
| ENSP00000333097.6  |   4161 |                           4161 |
| ENSP00000353346.1  |   4161 |                           4161 |
| ENSP00000357306.3  |   4161 |                           4161 |
| ENSP00000363993.2  |   4161 |                           4161 |
| ENSP00000436005.1  |   4161 |                           4161 |
| ENSP00000294288.4  |   4180 |                           4180 |
| ENSP00000328551.5  |   4199 |                           4199 |
| ENSP00000337761.1  |   4199 |                           4199 |
| ENSP00000353089.5  |   4199 |                           4199 |
| ENSP00000494123.2  |   4218 |                           4218 |
| ENSP00000259216.5  |   4237 |                           4237 |
| ENSP00000277010.4  |   4237 |                           4237 |
| ENSP00000284440.4  |   4237 |                           4237 |
| ENSP00000497102.1  |   4237 |                           4237 |
| ENSP00000217402.2  |   4256 |                           4256 |
| ENSP00000222284.4  |   4256 |                           4256 |
| ENSP00000296387.1  |   4256 |                           4256 |
| ENSP00000363972.3  |   4256 |                           4256 |
| ENSP00000369320.3  |   4256 |                           4256 |
| ENSP00000275605.3  |   4275 |                           4275 |
| ENSP00000309338.7  |   4275 |                           4275 |
| ENSP00000376056.2  |   4275 |                           4275 |
| ENSP00000221972.3  |   4294 |                           4294 |
| ENSP00000253413.5  |   4294 |                           4294 |
| ENSP00000311290.2  |   4294 |                           4294 |
| ENSP00000372299.4  |   4294 |                           4294 |
| ENSP00000375942.2  |   4294 |                           6441 |
| ENSP00000463245.1  |   4294 |                           4294 |
| ENSP00000480240.1  |   4294 |                           4294 |
| ENSP00000305260.4  |   4306 |                           6460 |
| ENSP00000321026.3  |   4332 |                           4332 |
| ENSP00000322460.4  |   4332 |                           4332 |
| ENSP00000006750.4  |   4351 |                           4351 |
| ENSP00000255784.5  |   4351 |                           4351 |
| ENSP00000306496.5  |   4351 |                           4351 |
| ENSP00000336571.1  |   4370 |                           4370 |
| ENSP00000337224.3  |   4370 |                           4370 |
| ENSP00000357901.4  |   4370 |                           4370 |
| ENSP00000362205.3  |   4370 |                           4370 |
| ENSP00000417052.1  |   4370 |                           4370 |
| ENSP00000446205.2  |   4370 |                           4370 |
| ENSP00000370746.3  |   4389 |                           4389 |
| ENSP00000217740.3  |   4408 |                           4408 |
| ENSP00000322280.1  |   4408 |                           4408 |
| ENSP00000328181.4  |   4408 |                           4408 |
| ENSP00000424711.2  |   4408 |                           4408 |
| ENSP00000378841.3  |   4427 |                           4427 |
| ENSP00000398698.2  |   4427 |                           4427 |
| ENSP00000498104.1  |   4427 |                           4427 |
| ENSP00000217260.4  |   4446 |                           4446 |
| ENSP00000261758.4  |   4446 |                           4446 |
| ENSP00000216027.3  |   4465 |                           4465 |
| ENSP00000221233.3  |   4465 |                           4465 |
| ENSP00000264734.3  |   4465 |                           4465 |
| ENSP00000283635.3  |   4465 |                           4465 |
| ENSP00000334134.3  |   4465 |                           4465 |
| ENSP00000375248.1  |   4465 |                           4465 |
| ENSP00000406547.3  |   4465 |                           4465 |
| ENSP00000417763.1  |   4465 |                           4465 |
| ENSP00000252288.1  |   4484 |                           4484 |
| ENSP00000263645.5  |   4484 |                           4484 |
| ENSP00000280987.4  |   4484 |                           4484 |
| ENSP00000376655.1  |   4484 |                           4484 |
| ENSP00000317580.4  |   4503 |                           4503 |
| ENSP00000417610.1  |   4503 |                           4503 |
| ENSP00000454062.2  |   4503 |                           4503 |
| ENSP00000338642.2  |   4522 |                           4522 |
| ENSP00000442360.2  |   4541 |                           4541 |
| ENSP00000499935.1  |   4541 |                           4541 |
| ENSP00000240306.3  |   4560 |                           4560 |
| ENSP00000291552.4  |   4560 |                           4560 |
| ENSP00000337040.3  |   4560 |                           4560 |
| ENSP00000371554.3  |   4560 |                           4560 |
| ENSP00000262193.6  |   4579 |                           4579 |
| ENSP00000330382.6  |   4579 |                           4579 |
| ENSP00000358525.2  |   4579 |                           4579 |
| ENSP00000497720.1  |   4579 |                           4579 |
| ENSP00000228641.3  |   4598 |                           4598 |
| ENSP00000245539.6  |   4598 |                           4598 |
| ENSP00000391692.2  |   4598 |                           4598 |
| ENSP00000262241.5  |   4607 |                           9215 |
| ENSP00000276659.5  |   4617 |                           4617 |
| ENSP00000330523.5  |   4617 |                           4617 |
| ENSP00000353165.3  |   4617 |                           4617 |
| ENSP00000431140.1  |   4617 |                           4617 |
| ENSP00000361064.4  |   4627 |                           9253 |
| ENSP00000281243.5  |   4636 |                           4636 |
| ENSP00000321797.2  |   4636 |                           4636 |
| ENSP00000416627.1  |   4636 |                           4636 |
| ENSP00000470560.1  |   4636 |                           4636 |
| ENSP00000239461.6  |   4655 |                           4655 |
| ENSP00000363771.4  |   4655 |                           4655 |
| ENSP00000363773.3  |   4655 |                           4655 |
| ENSP00000397269.1  |   4655 |                           4655 |
| ENSP00000242257.8  |   4674 |                           4674 |
| ENSP00000268261.4  |   4674 |                           4674 |
| ENSP00000328596.5  |   4674 |                           4674 |
| ENSP00000343458.6  |   4674 |                           4674 |
| ENSP00000377126.1  |   4674 |                           4674 |
| ENSP00000420588.1  |   4674 |                           4674 |
| ENSP00000250124.6  |   4693 |                           4693 |
